iter	Passed	Remaining
0	59	59136
1	59	29739
2	59	19924
3	60	15020
4	60	12071
5	61	10107
6	61	8714
7	61	7675
8	62	6850
9	62	6189
10	62	5650
11	63	5205
12	63	4825
13	63	4497
14	64	4226
15	64	3982
16	65	3762
17	65	3573
18	65	3399
19	66	3241
20	66	3102
21	66	2973
22	67	2854
23	67	2747
24	67	2647
25	68	2554
26	68	2469
27	68	2389
28	69	2314
29	69	2247
30	69	2187
31	70	2128
32	70	2070
33	70	2015
34	71	1982
35	72	1932
36	72	1885
37	72	1842
38	73	1801
39	73	1762
40	73	1724
41	74	1688
42	74	1652
43	74	1619
44	74	1587
45	75	1558
46	75	1529
47	75	1501
48	75	1474
49	76	1449
50	76	1425
51	76	1401
52	77	1378
53	77	1356
54	77	1335
55	77	1314
56	78	1294
57	78	1276
58	78	1257
59	79	1239
60	79	1221
61	79	1205
62	80	1190
63	80	1174
64	80	1159
65	80	1144
66	81	1130
67	81	1113
68	81	1100
69	81	1086
70	82	1074
71	82	1062
72	82	1050
73	83	1039
74	83	1028
75	83	1017
76	83	1006
77	84	996
78	84	985
79	84	975
80	85	966
81	85	956
82	85	946
83	85	937
84	86	927
85	86	918
86	86	907
87	86	899
88	87	891
89	87	883
90	87	875
91	87	867
92	88	860
93	88	852
94	88	845
95	88	837
96	89	830
97	89	823
98	89	817
99	90	811
100	90	804
101	90	796
102	90	790
103	90	783
104	91	778
105	91	772
106	91	766
107	92	760
108	92	755
109	92	749
110	92	744
111	93	739
112	93	734
113	93	728
114	94	723
115	94	718
116	94	713
117	94	708
118	95	704
119	95	700
120	95	695
121	96	691
122	96	685
123	96	681
124	96	677
125	96	672
126	97	668
127	97	663
128	97	659
129	97	655
130	98	651
131	98	648
132	98	644
133	99	640
134	99	636
135	99	632
136	99	629
137	100	625
138	100	621
139	100	617
140	100	614
141	101	611
142	101	607
143	101	604
144	101	600
145	102	597
146	102	594
147	102	591
148	102	587
149	103	584
150	103	581
151	103	578
152	103	575
153	104	572
154	104	570
155	104	567
156	105	564
157	105	561
158	105	558
159	105	555
160	106	553
161	106	550
162	106	548
163	107	546
164	107	543
165	107	541
166	107	538
167	108	536
168	108	533
169	108	531
170	109	529
171	109	526
172	109	524
173	109	521
174	110	520
175	110	518
176	111	516
177	111	513
178	111	511
179	111	509
180	111	506
181	112	504
182	112	501
183	112	499
184	112	497
185	113	498
186	114	496
187	114	494
188	114	491
189	114	489
190	115	487
191	115	485
192	115	484
193	116	482
194	116	480
195	116	478
196	116	476
197	117	474
198	117	472
199	117	470
200	117	468
201	118	466
202	118	465
203	118	463
204	119	461
205	119	459
206	119	458
207	119	456
208	120	454
209	120	452
210	120	451
211	120	449
212	121	447
213	121	446
214	121	444
215	122	442
216	122	441
217	122	439
218	122	438
219	123	436
220	123	434
221	123	432
222	123	431
223	124	429
224	124	428
225	124	426
226	124	425
227	125	423
228	125	422
229	125	420
230	126	419
231	126	418
232	126	416
233	126	415
234	127	413
235	127	412
236	127	410
237	127	409
238	127	407
239	128	405
240	128	404
241	128	403
242	128	401
243	129	400
244	129	398
245	129	397
246	129	395
247	130	394
248	130	393
249	130	391
250	130	390
251	131	388
252	131	387
253	131	386
254	131	384
255	132	383
256	132	382
257	132	381
258	132	380
259	133	378
260	133	378
261	133	376
262	134	375
263	134	374
264	134	373
265	134	371
266	135	370
267	135	369
268	135	368
269	135	367
270	136	366
271	136	365
272	136	364
273	137	363
274	137	361
275	137	360
276	137	359
277	138	358
278	138	357
279	138	357
280	139	356
281	139	355
282	139	353
283	139	352
284	140	351
285	140	350
286	140	349
287	140	348
288	141	347
289	141	346
290	141	345
291	142	344
292	142	343
293	142	342
294	142	341
295	142	340
296	143	339
297	143	338
298	143	337
299	144	336
300	144	335
301	144	334
302	144	333
303	145	332
304	145	331
305	145	330
306	146	329
307	146	328
308	146	327
309	146	326
310	147	325
311	147	324
312	147	323
313	147	322
314	148	322
315	148	321
316	148	320
317	148	319
318	149	318
319	149	317
320	149	316
321	149	315
322	150	315
323	150	314
324	150	313
325	151	312
326	151	311
327	151	310
328	151	309
329	152	309
330	152	308
331	152	307
332	152	306
333	153	305
334	153	304
335	153	303
336	154	303
337	154	302
338	154	301
339	154	300
340	155	299
341	155	298
342	155	298
343	155	297
344	156	296
345	156	295
346	156	294
347	156	293
348	157	293
349	157	292
350	157	291
351	158	290
352	158	290
353	158	289
354	158	288
355	159	287
356	159	287
357	159	286
358	160	285
359	160	284
360	160	284
361	160	283
362	161	282
363	161	281
364	161	281
365	161	280
366	162	279
367	162	278
368	162	278
369	162	277
370	163	276
371	163	275
372	163	275
373	164	274
374	164	274
375	164	273
376	164	272
377	165	271
378	165	271
379	165	270
380	166	269
381	166	269
382	166	268
383	166	267
384	167	266
385	167	266
386	167	265
387	167	264
388	168	264
389	168	263
390	168	262
391	169	262
392	169	261
393	169	260
394	169	260
395	170	259
396	170	259
397	170	258
398	171	257
399	171	257
400	171	256
401	171	255
402	172	255
403	172	254
404	172	253
405	173	253
406	173	252
407	173	251
408	173	251
409	174	250
410	174	249
411	174	249
412	174	248
413	175	247
414	175	247
415	175	246
416	175	245
417	176	245
418	176	244
419	176	243
420	176	243
421	177	242
422	177	242
423	177	241
424	178	240
425	178	240
426	178	239
427	178	238
428	179	238
429	179	237
430	179	237
431	180	236
432	180	236
433	180	235
434	180	234
435	181	234
436	181	233
437	181	233
438	181	232
439	182	231
440	182	231
441	182	230
442	182	229
443	183	229
444	183	228
445	183	228
446	184	227
447	184	227
448	184	226
449	184	226
450	185	225
451	185	224
452	185	224
453	186	223
454	186	223
455	186	222
456	186	222
457	187	221
458	187	221
459	187	220
460	188	219
461	188	219
462	188	218
463	188	218
464	189	217
465	189	217
466	189	216
467	189	215
468	190	215
469	190	214
470	190	214
471	190	213
472	191	213
473	191	212
474	191	211
475	192	211
476	192	210
477	192	210
478	192	209
479	193	209
480	193	208
481	193	208
482	193	207
483	194	207
484	194	206
485	194	206
486	195	205
487	195	205
488	195	204
489	196	204
490	196	203
491	196	203
492	196	202
493	197	201
494	197	201
495	197	201
496	198	200
497	198	200
498	198	199
499	199	199
500	199	198
501	199	198
502	199	197
503	200	197
504	200	196
505	200	195
506	201	195
507	201	194
508	201	194
509	201	193
510	202	193
511	202	192
512	202	192
513	202	191
514	203	191
515	203	190
516	203	190
517	204	189
518	204	189
519	204	188
520	204	188
521	205	187
522	205	187
523	205	186
524	205	186
525	206	185
526	206	185
527	206	184
528	206	184
529	207	183
530	207	183
531	207	182
532	208	182
533	208	181
534	208	181
535	208	180
536	209	180
537	209	179
538	209	179
539	209	178
540	210	178
541	210	177
542	210	177
543	211	177
544	212	177
545	212	176
546	212	176
547	212	175
548	213	175
549	213	174
550	213	174
551	214	173
552	214	173
553	214	172
554	214	172
555	215	171
556	215	171
557	215	170
558	215	170
559	216	169
560	216	169
561	216	168
562	216	168
563	217	167
564	217	167
565	217	166
566	218	166
567	218	166
568	218	165
569	218	165
570	219	164
571	219	164
572	219	163
573	220	163
574	220	162
575	220	162
576	220	161
577	221	161
578	221	160
579	221	160
580	221	160
581	222	159
582	222	159
583	222	158
584	223	158
585	223	157
586	223	157
587	223	156
588	224	156
589	224	156
590	224	155
591	225	155
592	225	154
593	225	154
594	225	153
595	226	153
596	226	152
597	226	152
598	227	151
599	227	151
600	227	151
601	227	150
602	228	150
603	228	149
604	228	149
605	228	148
606	229	148
607	229	147
608	229	147
609	230	147
610	230	146
611	230	146
612	230	145
613	231	145
614	231	144
615	231	144
616	231	143
617	232	143
618	232	143
619	232	142
620	233	142
621	233	141
622	233	141
623	233	140
624	234	140
625	234	140
626	234	139
627	234	139
628	235	138
629	235	138
630	235	137
631	235	137
632	236	136
633	236	136
634	236	136
635	237	135
636	237	135
637	237	134
638	237	134
639	237	133
640	238	133
641	238	133
642	238	132
643	238	132
644	239	131
645	239	131
646	239	130
647	240	130
648	240	130
649	240	129
650	241	129
651	241	128
652	241	128
653	242	128
654	242	127
655	242	127
656	243	126
657	243	126
658	243	126
659	243	125
660	244	125
661	244	124
662	244	124
663	244	123
664	245	123
665	245	123
666	245	122
667	245	122
668	246	121
669	246	121
670	246	121
671	247	120
672	247	120
673	247	119
674	247	119
675	248	118
676	248	118
677	248	118
678	249	117
679	249	117
680	249	116
681	249	116
682	250	116
683	250	115
684	250	115
685	251	114
