iter	Passed	Remaining
0	0	371
1	0	377
2	1	356
3	1	335
4	1	330
5	1	326
6	2	319
7	2	324
8	2	324
9	3	318
10	3	321
11	3	319
12	4	315
13	4	311
14	4	308
15	5	308
16	5	305
17	5	307
18	6	311
19	6	310
20	6	307
21	6	304
22	7	304
23	7	305
24	7	306
25	8	305
26	8	302
27	8	300
28	8	298
29	9	296
30	9	296
31	9	294
32	9	292
33	10	292
34	10	292
35	10	292
36	11	291
37	11	290
38	11	289
39	12	290
40	12	291
41	12	291
42	13	292
43	13	295
44	13	296
45	14	295
46	14	294
47	14	294
48	15	294
49	15	293
50	15	294
51	16	293
52	16	291
53	16	290
54	16	290
55	17	290
56	17	289
57	17	288
58	18	287
59	18	286
60	18	285
61	18	285
62	19	284
63	19	283
64	19	283
65	19	282
66	20	282
67	20	281
68	20	280
69	21	281
70	21	280
71	21	279
72	21	278
73	22	277
74	22	277
75	22	276
76	23	275
77	23	275
78	23	275
79	23	274
80	24	273
81	24	273
82	24	270
83	24	270
84	25	269
85	25	268
86	25	268
87	25	267
88	26	266
89	26	266
90	26	266
91	26	265
92	27	265
93	27	264
94	27	264
95	27	263
96	28	263
97	28	264
98	28	263
99	29	263
100	29	262
101	29	262
102	30	261
103	30	262
104	30	261
105	30	261
106	31	260
107	31	260
108	31	259
109	32	259
110	32	258
111	32	258
112	32	257
113	33	257
114	33	256
115	33	256
116	33	254
117	34	255
118	34	255
119	34	255
120	35	254
121	35	253
122	35	253
123	35	252
124	36	252
125	36	251
126	36	251
127	36	251
128	37	251
129	37	251
130	37	250
131	38	250
132	38	250
133	38	249
134	38	249
135	39	248
136	39	247
137	39	247
138	39	247
139	40	247
140	40	247
141	40	246
142	41	245
143	41	245
144	41	245
145	41	244
146	42	244
147	42	243
148	42	243
149	42	243
150	43	242
151	43	242
152	43	241
153	43	241
154	44	240
155	44	240
156	44	240
157	45	239
158	45	239
159	45	239
160	45	238
161	46	238
162	46	238
163	46	237
164	46	237
165	47	237
166	47	237
167	47	236
168	48	236
169	48	235
170	48	235
171	48	234
172	49	234
173	49	233
174	49	233
175	49	233
176	50	233
177	50	232
178	50	232
179	50	232
180	51	231
181	51	231
182	51	231
183	52	231
184	52	230
185	52	230
186	52	230
187	53	229
188	53	229
189	53	229
190	54	229
191	54	228
192	54	228
193	54	227
194	55	227
195	55	227
196	55	227
197	56	226
198	56	226
199	56	226
200	56	225
201	57	225
202	57	225
203	57	225
204	58	224
205	58	224
206	58	224
207	58	224
208	59	223
209	59	223
210	59	223
211	60	223
212	60	222
213	60	222
214	60	222
215	61	221
216	61	221
217	61	221
218	61	220
219	62	220
220	62	220
221	62	220
222	63	219
223	63	219
224	63	218
225	63	218
226	64	218
227	64	217
228	64	217
229	64	217
230	65	216
231	65	216
232	65	216
233	65	215
234	66	215
235	66	215
236	66	214
237	66	214
238	67	214
239	67	214
240	67	213
241	68	213
242	68	213
243	68	212
244	68	212
245	69	212
246	69	212
247	69	211
248	70	211
249	70	210
250	70	210
251	70	210
252	71	210
253	71	209
254	71	209
255	72	209
256	72	209
257	72	208
258	72	208
259	73	208
260	73	207
261	73	207
262	73	207
263	74	206
264	74	206
265	74	206
266	75	206
267	75	205
268	75	205
269	75	204
270	76	204
271	76	204
272	76	204
273	77	204
274	77	204
275	77	203
276	77	203
277	78	203
278	78	202
279	78	202
280	78	202
281	79	201
282	79	201
283	79	201
284	80	200
285	80	200
286	80	200
287	80	199
288	81	199
289	81	199
290	81	198
291	81	198
292	82	198
293	82	198
294	82	198
295	83	198
296	83	197
297	83	197
298	84	197
299	84	197
300	84	197
301	85	197
302	85	197
303	85	196
304	86	196
305	86	196
306	86	195
307	86	195
308	87	195
309	87	194
310	87	194
311	87	194
312	88	193
313	88	193
314	88	193
315	89	192
316	89	192
317	89	192
318	89	191
319	90	191
320	90	191
321	90	191
322	91	190
323	91	190
324	91	190
325	91	189
326	92	189
327	92	189
328	92	188
329	92	188
330	93	188
331	93	188
332	93	187
333	94	187
334	94	187
335	94	186
336	94	186
337	95	186
338	95	186
339	95	185
340	96	185
341	96	185
342	96	184
343	96	184
344	97	184
345	97	183
346	97	183
347	97	183
348	98	183
349	98	183
350	98	182
351	99	182
352	99	182
353	99	181
354	99	181
355	100	181
356	100	180
357	100	180
358	100	180
359	101	180
360	101	179
361	101	179
362	102	179
363	102	178
364	102	178
365	102	178
366	103	178
367	103	177
368	103	177
369	104	177
370	104	176
371	104	176
372	104	176
373	105	176
374	105	175
375	105	175
376	106	175
377	106	175
378	106	174
379	106	174
380	107	174
381	107	173
382	107	173
383	108	173
384	108	173
385	108	172
386	108	172
387	109	172
388	109	171
389	109	171
390	109	171
391	110	170
392	110	170
393	110	170
394	110	169
395	111	169
396	111	169
397	111	169
398	112	168
399	112	168
400	112	168
401	112	167
402	113	167
403	113	167
404	113	167
405	113	166
406	114	166
407	114	166
408	114	165
409	115	165
410	115	165
411	115	164
412	115	164
413	116	164
414	116	164
415	116	163
416	116	163
417	117	163
418	117	162
419	117	162
420	117	162
421	118	161
422	118	161
423	118	161
424	119	161
425	119	160
426	119	160
427	119	160
428	120	159
429	120	159
430	120	159
431	120	159
432	121	158
433	121	158
434	121	158
435	122	157
436	122	157
437	122	157
438	122	157
439	123	156
440	123	156
441	123	156
442	124	155
443	124	155
444	124	155
445	124	155
446	125	154
447	125	154
448	125	154
449	126	154
450	126	153
451	126	153
452	126	153
453	127	153
454	127	152
455	127	152
456	128	152
457	128	151
458	128	151
459	128	151
460	129	151
461	129	150
462	129	150
463	130	150
464	130	150
465	130	149
466	131	149
467	131	149
468	131	149
469	132	148
470	132	148
471	132	148
472	132	148
473	133	147
474	133	147
475	133	147
476	133	146
477	134	146
478	134	146
479	134	145
480	134	145
481	135	145
482	135	144
483	135	144
484	136	144
485	136	144
486	136	143
487	136	143
488	137	143
489	137	142
490	137	142
491	137	142
492	138	141
493	138	141
494	138	141
495	138	141
496	139	140
497	139	140
498	139	140
499	140	140
500	140	139
501	140	139
502	140	139
503	141	139
504	141	138
505	141	138
506	142	138
507	142	138
508	142	137
509	143	137
510	143	137
511	143	137
512	144	136
513	144	136
514	145	136
515	145	136
516	145	135
517	145	135
518	146	135
519	146	135
520	146	134
521	146	134
522	147	134
523	147	133
524	147	133
525	147	133
526	148	133
527	148	132
528	148	132
529	149	132
530	149	131
531	149	131
532	150	131
533	150	131
534	150	130
535	150	130
536	151	130
537	151	129
538	151	129
539	151	129
540	152	129
541	152	128
542	152	128
543	152	128
544	153	127
545	153	127
546	153	127
547	154	127
548	154	126
549	154	126
550	154	126
551	155	125
552	155	125
553	155	125
554	156	125
555	156	124
556	156	124
557	156	124
558	157	123
559	157	123
560	157	123
561	158	123
562	158	122
563	158	122
564	158	122
565	159	121
566	159	121
567	159	121
568	159	121
569	160	120
570	160	120
571	160	120
572	161	119
573	161	119
574	161	119
575	161	119
576	162	118
577	162	118
578	162	118
579	162	117
580	163	117
581	163	117
582	163	117
583	163	116
584	164	116
585	164	116
586	164	115
587	164	115
588	165	115
589	165	114
590	165	114
591	165	114
592	166	114
593	166	113
594	166	113
595	166	113
596	167	112
597	167	112
598	168	112
599	168	112
600	168	111
601	168	111
602	169	111
603	169	111
604	169	110
605	170	110
606	170	110
607	170	110
608	170	109
609	171	109
610	171	109
611	171	108
612	171	108
613	172	108
614	172	108
615	172	107
616	173	107
617	173	107
618	173	106
619	173	106
620	174	106
621	174	106
622	174	105
623	175	105
624	175	105
625	175	104
626	175	104
627	176	104
628	176	104
629	176	103
630	177	103
631	177	103
632	177	103
633	178	102
634	178	102
635	178	102
636	179	102
637	179	101
638	179	101
639	179	101
640	180	100
641	180	100
642	180	100
643	180	100
644	181	99
645	181	99
646	181	99
647	182	98
648	182	98
649	182	98
650	182	98
651	183	97
652	183	97
653	183	97
654	184	96
655	184	96
656	184	96
657	184	96
658	184	95
659	185	95
660	185	95
661	186	95
662	186	94
663	186	94
664	187	94
665	187	93
666	187	93
667	187	93
668	188	93
669	188	92
670	188	92
671	189	92
672	189	91
673	189	91
674	189	91
675	190	91
676	190	90
677	190	90
678	190	90
679	191	90
680	191	89
681	191	89
682	192	89
683	192	88
684	192	88
685	193	88
686	193	88
687	193	87
688	193	87
689	194	87
690	194	86
691	194	86
692	195	86
693	195	86
694	195	85
695	195	85
696	196	85
697	196	85
698	196	84
699	197	84
700	197	84
701	197	83
702	198	83
703	198	83
704	198	83
705	199	82
706	199	82
707	199	82
708	199	82
709	200	81
710	200	81
711	200	81
712	200	80
713	201	80
714	201	80
715	201	80
716	202	79
717	202	79
718	202	79
719	202	78
720	203	78
721	203	78
722	203	78
723	203	77
724	204	77
725	204	77
726	204	76
727	205	76
728	205	76
729	205	76
730	205	75
731	206	75
732	206	75
733	206	74
734	206	74
735	207	74
736	207	74
737	207	73
738	208	73
739	208	73
740	209	73
741	209	72
742	209	72
743	209	72
744	210	72
745	210	71
746	210	71
747	211	71
748	211	70
749	211	70
750	212	70
751	212	70
752	212	69
753	213	69
754	213	69
755	213	68
756	213	68
757	214	68
758	214	68
759	215	67
760	215	67
761	215	67
762	215	67
763	216	66
764	216	66
765	216	66
766	216	65
767	217	65
768	217	65
769	217	65
770	218	64
771	218	64
772	218	64
773	218	63
774	219	63
775	219	63
776	219	63
777	219	62
778	220	62
779	220	62
780	220	61
781	221	61
782	221	61
783	221	61
784	221	60
785	222	60
786	222	60
787	222	59
788	222	59
789	223	59
790	223	59
791	224	58
792	224	58
793	224	58
794	225	58
795	225	57
796	225	57
797	225	57
798	226	56
799	226	56
800	226	56
801	226	56
802	227	55
803	227	55
804	227	55
805	228	54
806	228	54
807	228	54
808	228	54
809	229	53
810	229	53
811	229	53
812	230	52
813	230	52
814	230	52
815	230	52
816	231	51
817	231	51
818	231	51
819	231	50
820	232	50
821	232	50
822	232	50
823	232	49
824	233	49
825	233	49
826	233	48
827	233	48
828	234	48
829	234	48
830	234	47
831	234	47
832	235	47
833	235	46
834	235	46
835	236	46
836	236	46
837	236	45
838	237	45
839	237	45
840	237	44
841	238	44
842	238	44
843	238	44
844	238	43
845	239	43
846	239	43
847	239	42
848	240	42
849	240	42
850	240	42
851	240	41
852	241	41
853	241	41
854	241	41
855	242	40
856	242	40
